display_sequence,category,item_index,text
223,Mini Challenge,63,"Challenge: Project is nearly complete but claims are unresolved. | Answer: Prioritise claim closure alongside practical completion tasks."
224,Mini Challenge,64,"Challenge: Client suggests ‘we’ll settle everything at the end’. | Answer: Keep claiming progressively and documenting positions."
225,Mini Challenge,65,"Challenge: You’re asked for a major discount to secure next job. | Answer: Weigh lifetime value against real cost, not just emotion."
226,Mini Challenge,66,"Challenge: Dispute emerges over ambiguous tender notes. | Answer: Return to original documents and intent; document your interpretation."
227,Mini Challenge,67,"Challenge: Your own senior management wants to over-promise. | Answer: Present the commercial risk clearly and propose safer options."
228,Mini Challenge,68,"Challenge: Subbie requests early release of retention. | Answer: Tie release to clearly documented milestones or security."
229,Mini Challenge,69,"Challenge: Adjudication decision goes partly against you. | Answer: Update strategy, not just emotion—adjust future behaviour."
230,Mini Challenge,70,"Challenge: Client QS rejects overhead percentages out of habit. | Answer: Justify rates with real cost data and market benchmarks."
231,Mini Challenge,71,"Challenge: Cross-claims make net position confusing. | Answer: Build a clear reconciliation schedule showing both directions."
232,Mini Challenge,72,"Challenge: You suspect hidden scope in preliminaries. | Answer: Unpack and re-allocate into measurable, defendable items."
233,Mini Challenge,73,"Challenge: Third-party stakeholder causes delay. | Answer: Record their actions and notify client of impact immediately."
234,Mini Challenge,74,"Challenge: Your claim is technically correct but emotionally sensitive. | Answer: Use neutral language and stick tightly to evidence."
235,Mini Challenge,75,"Challenge: Client sends contradictory instructions from different people. | Answer: Confirm who has authority and record agreed direction."
236,Mini Challenge,76,"Challenge: You’re pressured to approve a subbie’s claim quickly. | Answer: Take enough time to check; rushed approvals linger."
237,Mini Challenge,77,"Challenge: Project Facebook group starts discussing issues. | Answer: Keep official communications on formal channels and in writing."
238,Mini Challenge,78,"Challenge: You inherited a dispute without context. | Answer: Reconstruct timeline, documents, and goals before taking a position."
239,Mini Challenge,79,"Challenge: Client wants design help beyond contract. | Answer: Clarify scope boundaries and treat extra support as a variation."
240,Mini Challenge,80,"Challenge: Site team wants a ‘commercial exception’. | Answer: Ask how it will look when read in a future dispute."

241,Clause of the Day,1,"Time Bars: Clauses that cut off entitlement if notice is not given on time."
242,Clause of the Day,2,"Variation: A directed change to scope, timing, or quality that must be valued."
243,Clause of the Day,3,"Latent Condition: A physical site condition you could not reasonably foresee at tender."
244,Clause of the Day,4,"Extension of Time: A contractual tool to adjust completion dates without default."
245,Clause of the Day,5,"Superintendent: The role charged with administering the contract, not taking sides."
246,Clause of the Day,6,"Security: Cash, bonds, or guarantees held to protect against non-performance."
247,Clause of the Day,7,"Liquidated Damages: Pre-agreed daily sums for delay, easier to claim than general damages."
248,Clause of the Day,8,"Defects Liability: A period after completion where you must fix defects at your cost."
249,Clause of the Day,9,"Provisional Sum: An allowance for uncertain work, to be adjusted to actual cost."
250,Clause of the Day,10,"Site Possession: The right to access and use the site to perform the works."
251,Clause of the Day,11,"Indemnity: A promise to protect another party from specific types of loss."
252,Clause of the Day,12,"Entire Agreement: Clause confirming the contract replaces all prior discussions."
253,Clause of the Day,13,"Order of Precedence: Rules for resolving inconsistencies between contract documents."
254,Clause of the Day,14,"Programming: Contractual obligation to plan, update, and share time schedules."
255,Clause of the Day,15,"Notice: A formal communication required to trigger or preserve a contractual right."
256,Clause of the Day,16,"Deed: A document executed with heightened formality, often with longer limitation periods."
257,Clause of the Day,17,"Practical Completion: The stage when works are usable, with only minor defects remaining."
258,Clause of the Day,18,"Suspension: Right to stop work when the other side breaches certain obligations."
259,Clause of the Day,19,"Termination for Convenience: Client’s right to end the contract even without contractor fault."
260,Clause of the Day,20,"Retention: Percentage of payment withheld to cover incomplete or defective work."
261,Clause of the Day,21,"Backcharge: Recovery of costs for rectifying another party’s default."
262,Clause of the Day,22,"Warranty: A promise that work or materials will meet specific standards."
263,Clause of the Day,23,"Fitness for Purpose: A higher standard than ‘reasonable skill and care’ in design."
264,Clause of the Day,24,"Change in Law: Clause covering cost or time effects of new legal requirements."
265,Clause of the Day,25,"Force Majeure: Events beyond control that may excuse performance or extend time."
266,Clause of the Day,26,"Assignment: Transfer of contractual rights to another party."
267,Clause of the Day,27,"Novation: Replacement of one party with another, with consent of all."
268,Clause of the Day,28,"Set-off: Right to deduct amounts owed from amounts payable."
269,Clause of the Day,29,"Expert Determination: Binding or non-binding decision by an agreed specialist."
270,Clause of the Day,30,"Arbitration: Private dispute process leading to a binding award."
271,Clause of the Day,31,"Governing Law: Legal system that interprets and enforces the contract."
272,Clause of the Day,32,"Confidentiality: Obligations around sharing project and commercial information."
273,Clause of the Day,33,"Escalation: Internal dispute resolution steps before formal processes."
274,Clause of the Day,34,"Dayworks: Payment for work on time and materials with agreed rates."
275,Clause of the Day,35,"Schedule of Rates: Pre-agreed rates used to value varied quantities."
276,Clause of the Day,36,"Prime Cost Item: Allowance for specific supply items to be selected later."
277,Clause of the Day,37,"Nominated Subcontractor: Subbie chosen by the principal but contracted to you."
278,Clause of the Day,38,"Design Responsibility: Clause clarifying who is responsible for design outcomes."
279,Clause of the Day,39,"Intellectual Property: Ownership and licence to use designs and documents."
280,Clause of the Day,40,"Testing and Commissioning: Procedures and standards to prove performance."
281,Clause of the Day,41,"Completion Criteria: Clear conditions that must be met to reach completion milestones."
282,Clause of the Day,42,"Delay Damages Cap: Maximum total LDs recoverable under the contract."
283,Clause of the Day,43,"Latent Defect: Defect not discoverable by reasonable inspection at completion."
284,Clause of the Day,44,"Fit-for-Occupation: Standard often linked to practical completion in building projects."
285,Clause of the Day,45,"Payment Claim: Formal request for payment under security of payment or contract."
286,Clause of the Day,46,"Payment Schedule: Formal response explaining what will be paid and why."
287,Clause of the Day,47,"Certification: Process of independently assessing amounts due, not just approving invoices."
288,Clause of the Day,48,"Acceleration: Directed increase in resources to bring forward completion."
289,Clause of the Day,49,"Access: Rights and responsibilities relating to entering and using the site."
290,Clause of the Day,50,"Superintendent’s Direction: Instruction that must be followed, subject to contractual challenge."
291,Clause of the Day,51,"Program Float: Spare time in non-critical tasks—often contested in delay claims."
292,Clause of the Day,52,"Concurrent Delay: Overlapping delays caused by more than one party or event."
293,Clause of the Day,53,"Reasonable Skill and Care: Standard baseline for professional services."
294,Clause of the Day,54,"Good Faith: Obligation to act honestly and reasonably in performing the contract."
295,Clause of the Day,55,"Latent Condition Notice: Trigger step that keeps your entitlement alive."
296,Clause of the Day,56,"Site Instructions: Daily operational directions that should still reference the contract."
297,Clause of the Day,57,"Hold Point: Step where work cannot proceed until a specific approval is given."
298,Clause of the Day,58,"Defect Notice: Written request to rectify non-conforming work within a set time."
299,Clause of the Day,59,"Mitigation: Duty to limit losses even when the other party is in breach."
300,Clause of the Day,60,"Statutory Warranties: Non-excludable obligations imposed by law, not just contract."
301,Clause of the Day,61,"Latent Condition Risk Allocation: Clause deciding who pays for surprises underground."
302,Clause of the Day,62,"Programming Standard: Built-in expectation that the program will be logical and realistic."
303,Clause of the Day,63,"Subcontract Alignment: Requirement that subcontracts reflect key head-contract terms."
304,Clause of the Day,64,"Dispute Notice: Formal starting gun for the contractual dispute process."
305,Clause of the Day,65,"Interim Payment: Progress payments that don’t finally decide entitlement."
306,Clause of the Day,66,"Final Account: The last commercial reconciliation, often heavily contested."
307,Clause of the Day,67,"Minor Variation: Small change that may be priced differently to major variations."
308,Clause of the Day,68,"Access for Others: Obligation to coordinate with other contractors on site."
309,Clause of the Day,69,"Security of Payment Reference Date: The date from which you can claim."
310,Clause of the Day,70,"Limitation Period: Time after which legal action on the contract is barred."

311,Red Flag,1,"Red flag: Urgent instructions given only verbally and never confirmed in writing."
312,Red Flag,2,"Red flag: Design information released late but nobody is notifying delay."
313,Red Flag,3,"Red flag: Scope described vaguely as ‘all works necessary’ without detail."
314,Red Flag,4,"Red flag: Tender qualifiers never formally carried into the contract."
315,Red Flag,5,"Red flag: No agreed baseline program but lots of talk about delay."
316,Red Flag,6,"Red flag: Client repeatedly saying ‘we’ll fix it at final account’."
317,Red Flag,7,"Red flag: Site diaries not completed daily or signed by supervisors."
318,Red Flag,8,"Red flag: Drawings being marked up informally instead of revised properly."
319,Red Flag,9,"Red flag: Subcontractor refusing to adopt your notice procedures."
320,Red Flag,10,"Red flag: Critical communications happening only on WhatsApp or phone."
321,Red Flag,11,"Red flag: Variations carried out before price and scope are documented."
322,Red Flag,12,"Red flag: Major assumptions about ground conditions without exploration."
323,Red Flag,13,"Red flag: Client constantly pushing for ‘no-cost’ scope creep."
324,Red Flag,14,"Red flag: Repeated defects from the same trade with no corrective plan."
325,Red Flag,15,"Red flag: Claims relying mostly on memory, not documents."
326,Red Flag,16,"Red flag: Insurance certificates provided but policy wording never reviewed."
327,Red Flag,17,"Red flag: Subbies under severe financial stress but still awarded big packages."
328,Red Flag,18,"Red flag: Dispute conversations not followed up with confirming emails."
329,Red Flag,19,"Red flag: Cost reports full of provisional numbers and ‘TBC’ items."
330,Red Flag,20,"Red flag: No clear responsibility for updating the program."
331,Red Flag,21,"Red flag: Client’s representative changing frequently mid-project."
332,Red Flag,22,"Red flag: Major lead items ordered without written client approval."
333,Red Flag,23,"Red flag: People saying ‘we always do it this way’ against contract wording."
334,Red Flag,24,"Red flag: Claims submitted late as a matter of habit."
335,Red Flag,25,"Red flag: Subcontract scopes cut-and-pasted with obvious gaps."
336,Red Flag,26,"Red flag: Variation register not matching what site thinks has changed."
337,Red Flag,27,"Red flag: Client aggressively negotiating after work is already installed."
338,Red Flag,28,"Red flag: Design team insisting ‘it’s a like-for-like change’ without proof."
339,Red Flag,29,"Red flag: No clear process for identifying and tagging latent conditions."
340,Red Flag,30,"Red flag: Numerous RFIs with no timely responses or tracking."
341,Red Flag,31,"Red flag: Subcontractors starting before formal contract execution."
342,Red Flag,32,"Red flag: Inconsistent stories about key events from different team members."
343,Red Flag,33,"Red flag: No one can easily find the latest revision of drawings."
344,Red Flag,34,"Red flag: Adjudication threatened in casual conversation."
345,Red Flag,35,"Red flag: Dispute topics re-appearing in multiple progress meetings."
